ID,reliance,overreliance,underreliance,matching_decision,task,XAI_value
O20,undefined,undefined,undefined,1,1,0
O21,undefined,undefined,undefined,1,1,0
O22,undefined,undefined,undefined,1,1,0
O23,undefined,undefined,undefined,1,1,0
O24,undefined,undefined,undefined,1,1,0
O25,undefined,undefined,undefined,1,1,0
O26,undefined,undefined,undefined,1,1,0
O27,undefined,undefined,undefined,1,1,0
O28,undefined,undefined,undefined,1,1,0
O29,1,undefined,0,0,1,0
O30,undefined,undefined,undefined,1,1,0
O31,1,undefined,0,0,1,0
O32,undefined,undefined,undefined,1,1,0
O33,1,undefined,0,0,1,0
O34,undefined,undefined,undefined,1,1,0
OX20,undefined,undefined,undefined,1,1,1
OX21,undefined,undefined,undefined,1,1,1
OX22,undefined,undefined,undefined,1,1,1
OX23,undefined,undefined,undefined,1,1,1
OX24,undefined,undefined,undefined,1,1,1
OX25,undefined,undefined,undefined,1,1,1
OX26,0,undefined,1,0,1,1
OX27,undefined,undefined,undefined,1,1,1
OX28,undefined,undefined,undefined,1,1,1
OX29,undefined,undefined,undefined,1,1,1
OX30,undefined,undefined,undefined,1,1,1
OX31,undefined,undefined,undefined,1,1,1
OX32,0,undefined,1,0,1,1
OX33,1,undefined,0,0,1,1
OX34,undefined,undefined,undefined,1,1,1
O20,1,undefined,0,0,2,0
O21,undefined,undefined,undefined,1,2,0
O22,1,undefined,0,0,2,0
O23,1,undefined,0,0,2,0
O24,0,undefined,1,0,2,0
O25,0,undefined,1,0,2,0
O26,0,undefined,1,0,2,0
O27,1,undefined,0,0,2,0
O28,1,undefined,0,0,2,0
O29,0,undefined,1,0,2,0
O30,1,undefined,0,0,2,0
O31,1,undefined,0,0,2,0
O32,undefined,undefined,undefined,1,2,0
O33,undefined,undefined,undefined,1,2,0
O34,1,undefined,0,0,2,0
OX20,undefined,undefined,undefined,1,2,1
OX21,undefined,undefined,undefined,1,2,1
OX22,1,undefined,0,0,2,1
OX23,1,undefined,0,0,2,1
OX24,0,undefined,1,0,2,1
OX25,1,undefined,0,0,2,1
OX26,0,undefined,1,0,2,1
OX27,undefined,undefined,undefined,1,2,1
OX28,undefined,undefined,undefined,1,2,1
OX29,1,undefined,0,0,2,1
OX30,undefined,undefined,undefined,1,2,1
OX31,1,undefined,0,0,2,1
OX32,0,undefined,1,0,2,1
OX33,undefined,undefined,undefined,1,2,1
OX34,1,undefined,0,0,2,1
O20,1,undefined,0,0,3,0
O21,1,undefined,0,0,3,0
O22,undefined,undefined,undefined,1,3,0
O23,undefined,undefined,undefined,1,3,0
O24,undefined,undefined,undefined,1,3,0
O25,1,undefined,0,0,3,0
O26,1,undefined,0,0,3,0
O27,undefined,undefined,undefined,1,3,0
O28,undefined,undefined,undefined,1,3,0
O29,undefined,undefined,undefined,1,3,0
O30,undefined,undefined,undefined,1,3,0
O31,undefined,undefined,undefined,1,3,0
O32,undefined,undefined,undefined,1,3,0
O33,1,undefined,0,0,3,0
O34,undefined,undefined,undefined,1,3,0
OX20,undefined,undefined,undefined,1,3,1
OX21,undefined,undefined,undefined,1,3,1
OX22,undefined,undefined,undefined,1,3,1
OX23,undefined,undefined,undefined,1,3,1
OX24,undefined,undefined,undefined,1,3,1
OX25,1,undefined,0,0,3,1
OX26,undefined,undefined,undefined,1,3,1
OX27,undefined,undefined,undefined,1,3,1
OX28,1,undefined,0,0,3,1
OX29,undefined,undefined,undefined,1,3,1
OX30,1,undefined,0,0,3,1
OX31,undefined,undefined,undefined,1,3,1
OX32,undefined,undefined,undefined,1,3,1
OX33,undefined,undefined,undefined,1,3,1
OX34,1,undefined,0,0,3,1
O20,undefined,undefined,undefined,1,4,0
O21,undefined,undefined,undefined,1,4,0
O22,undefined,undefined,undefined,1,4,0
O23,1,undefined,0,0,4,0
O24,1,undefined,0,0,4,0
O25,undefined,undefined,undefined,1,4,0
O26,undefined,undefined,undefined,1,4,0
O27,undefined,undefined,undefined,1,4,0
O28,1,undefined,0,0,4,0
O29,1,undefined,0,0,4,0
O30,undefined,undefined,undefined,1,4,0
O31,undefined,undefined,undefined,1,4,0
O32,1,undefined,0,0,4,0
O33,1,undefined,0,0,4,0
O34,undefined,undefined,undefined,1,4,0
OX20,undefined,undefined,undefined,1,4,1
OX21,undefined,undefined,undefined,1,4,1
OX22,undefined,undefined,undefined,1,4,1
OX23,undefined,undefined,undefined,1,4,1
OX24,undefined,undefined,undefined,1,4,1
OX25,undefined,undefined,undefined,1,4,1
OX26,undefined,undefined,undefined,1,4,1
OX27,undefined,undefined,undefined,1,4,1
OX28,undefined,undefined,undefined,1,4,1
OX29,undefined,undefined,undefined,1,4,1
OX30,undefined,undefined,undefined,1,4,1
OX31,undefined,undefined,undefined,1,4,1
OX32,1,undefined,0,0,4,1
OX33,undefined,undefined,undefined,1,4,1
OX34,undefined,undefined,undefined,1,4,1
O20,undefined,undefined,undefined,1,5,0
O21,undefined,undefined,undefined,1,5,0
O22,undefined,undefined,undefined,1,5,0
O23,undefined,undefined,undefined,1,5,0
O24,1,1,undefined,0,5,0
O25,undefined,undefined,undefined,1,5,0
O26,undefined,undefined,undefined,1,5,0
O27,1,1,undefined,0,5,0
O28,undefined,undefined,undefined,1,5,0
O29,undefined,undefined,undefined,1,5,0
O30,1,1,undefined,0,5,0
O31,undefined,undefined,undefined,1,5,0
O32,undefined,undefined,undefined,1,5,0
O33,1,1,undefined,0,5,0
O34,1,1,undefined,0,5,0
OX20,undefined,undefined,undefined,1,5,1
OX21,undefined,undefined,undefined,1,5,1
OX22,1,1,undefined,0,5,1
OX23,undefined,undefined,undefined,1,5,1
OX24,undefined,undefined,undefined,1,5,1
OX25,0,0,undefined,0,5,1
OX26,undefined,undefined,undefined,1,5,1
OX27,undefined,undefined,undefined,1,5,1
OX28,undefined,undefined,undefined,1,5,1
OX29,undefined,undefined,undefined,1,5,1
OX30,undefined,undefined,undefined,1,5,1
OX31,1,1,undefined,0,5,1
OX32,undefined,undefined,undefined,1,5,1
OX33,undefined,undefined,undefined,1,5,1
OX34,undefined,undefined,undefined,1,5,1
O20,undefined,undefined,undefined,1,6,0
O21,undefined,undefined,undefined,1,6,0
O22,1,undefined,0,0,6,0
O23,undefined,undefined,undefined,1,6,0
O24,0,undefined,1,0,6,0
O25,0,undefined,1,0,6,0
O26,0,undefined,1,0,6,0
O27,undefined,undefined,undefined,1,6,0
O28,undefined,undefined,undefined,1,6,0
O29,1,undefined,0,0,6,0
O30,undefined,undefined,undefined,1,6,0
O31,undefined,undefined,undefined,1,6,0
O32,1,undefined,0,0,6,0
O33,undefined,undefined,undefined,1,6,0
O34,undefined,undefined,undefined,1,6,0
OX20,undefined,undefined,undefined,1,6,1
OX21,undefined,undefined,undefined,1,6,1
OX22,undefined,undefined,undefined,1,6,1
OX23,1,undefined,0,0,6,1
OX24,1,undefined,0,0,6,1
OX25,1,undefined,0,0,6,1
OX26,0,undefined,1,0,6,1
OX27,undefined,undefined,undefined,1,6,1
OX28,undefined,undefined,undefined,1,6,1
OX29,undefined,undefined,undefined,1,6,1
OX30,undefined,undefined,undefined,1,6,1
OX31,undefined,undefined,undefined,1,6,1
OX32,0,undefined,1,0,6,1
OX33,undefined,undefined,undefined,1,6,1
OX34,undefined,undefined,undefined,1,6,1
O20,0,undefined,1,0,7,0
O21,0,undefined,1,0,7,0
O22,1,undefined,0,0,7,0
O23,1,undefined,0,0,7,0
O24,undefined,undefined,undefined,1,7,0
O25,0,undefined,1,0,7,0
O26,1,undefined,0,0,7,0
O27,1,undefined,0,0,7,0
O28,1,undefined,0,0,7,0
O29,1,undefined,0,0,7,0
O30,0,undefined,1,0,7,0
O31,1,undefined,0,0,7,0
O32,undefined,undefined,undefined,1,7,0
O33,1,undefined,0,0,7,0
O34,1,undefined,0,0,7,0
OX20,0,undefined,1,0,7,1
OX21,1,undefined,0,0,7,1
OX22,0,undefined,1,0,7,1
OX23,1,undefined,0,0,7,1
OX24,1,undefined,0,0,7,1
OX25,0,undefined,1,0,7,1
OX26,0,undefined,1,0,7,1
OX27,1,undefined,0,0,7,1
OX28,1,undefined,0,0,7,1
OX29,0,undefined,1,0,7,1
OX30,0,undefined,1,0,7,1
OX31,0,undefined,1,0,7,1
OX32,0,undefined,1,0,7,1
OX33,1,undefined,0,0,7,1
OX34,1,undefined,0,0,7,1
O20,undefined,undefined,undefined,1,8,0
O21,undefined,undefined,undefined,1,8,0
O22,undefined,undefined,undefined,1,8,0
O23,1,undefined,0,0,8,0
O24,undefined,undefined,undefined,1,8,0
O25,undefined,undefined,undefined,1,8,0
O26,undefined,undefined,undefined,1,8,0
O27,undefined,undefined,undefined,1,8,0
O28,undefined,undefined,undefined,1,8,0
O29,1,undefined,0,0,8,0
O30,undefined,undefined,undefined,1,8,0
O31,undefined,undefined,undefined,1,8,0
O32,undefined,undefined,undefined,1,8,0
O33,1,undefined,0,0,8,0
O34,1,undefined,0,0,8,0
OX20,undefined,undefined,undefined,1,8,1
OX21,undefined,undefined,undefined,1,8,1
OX22,undefined,undefined,undefined,1,8,1
OX23,undefined,undefined,undefined,1,8,1
OX24,1,undefined,0,0,8,1
OX25,undefined,undefined,undefined,1,8,1
OX26,undefined,undefined,undefined,1,8,1
OX27,undefined,undefined,undefined,1,8,1
OX28,undefined,undefined,undefined,1,8,1
OX29,undefined,undefined,undefined,1,8,1
OX30,undefined,undefined,undefined,1,8,1
OX31,undefined,undefined,undefined,1,8,1
OX32,undefined,undefined,undefined,1,8,1
OX33,undefined,undefined,undefined,1,8,1
OX34,undefined,undefined,undefined,1,8,1
O20,1,undefined,0,0,9,0
O21,1,undefined,0,0,9,0
O22,undefined,undefined,undefined,1,9,0
O23,1,undefined,0,0,9,0
O24,0,undefined,1,0,9,0
O25,undefined,undefined,undefined,1,9,0
O26,undefined,undefined,undefined,1,9,0
O27,undefined,undefined,undefined,1,9,0
O28,undefined,undefined,undefined,1,9,0
O29,1,undefined,0,0,9,0
O30,undefined,undefined,undefined,1,9,0
O31,0,undefined,1,0,9,0
O32,undefined,undefined,undefined,1,9,0
O33,undefined,undefined,undefined,1,9,0
O34,undefined,undefined,undefined,1,9,0
OX20,undefined,undefined,undefined,1,9,1
OX21,undefined,undefined,undefined,1,9,1
OX22,undefined,undefined,undefined,1,9,1
OX23,undefined,undefined,undefined,1,9,1
OX24,undefined,undefined,undefined,1,9,1
OX25,undefined,undefined,undefined,1,9,1
OX26,undefined,undefined,undefined,1,9,1
OX27,undefined,undefined,undefined,1,9,1
OX28,undefined,undefined,undefined,1,9,1
OX29,undefined,undefined,undefined,1,9,1
OX30,undefined,undefined,undefined,1,9,1
OX31,undefined,undefined,undefined,1,9,1
OX32,undefined,undefined,undefined,1,9,1
OX33,undefined,undefined,undefined,1,9,1
OX34,undefined,undefined,undefined,1,9,1
O20,0,0,undefined,0,10,0
O21,1,1,undefined,0,10,0
O22,1,1,undefined,0,10,0
O23,1,1,undefined,0,10,0
O24,undefined,undefined,undefined,1,10,0
O25,undefined,undefined,undefined,1,10,0
O26,0,0,undefined,0,10,0
O27,undefined,undefined,undefined,1,10,0
O28,1,1,undefined,0,10,0
O29,1,1,undefined,0,10,0
O30,0,0,undefined,0,10,0
O31,1,1,undefined,0,10,0
O32,1,1,undefined,0,10,0
O33,undefined,undefined,undefined,1,10,0
O34,1,1,undefined,0,10,0
OX20,undefined,undefined,undefined,1,10,1
OX21,undefined,undefined,undefined,1,10,1
OX22,undefined,undefined,undefined,1,10,1
OX23,1,1,undefined,0,10,1
OX24,undefined,undefined,undefined,1,10,1
OX25,undefined,undefined,undefined,1,10,1
OX26,0,0,undefined,0,10,1
OX27,undefined,undefined,undefined,1,10,1
OX28,undefined,undefined,undefined,1,10,1
OX29,undefined,undefined,undefined,1,10,1
OX30,undefined,undefined,undefined,1,10,1
OX31,0,0,undefined,0,10,1
OX32,0,0,undefined,0,10,1
OX33,undefined,undefined,undefined,1,10,1
OX34,undefined,undefined,undefined,1,10,1
O20,1,undefined,0,0,11,0
O21,1,undefined,0,0,11,0
O22,1,undefined,0,0,11,0
O23,1,undefined,0,0,11,0
O24,0,undefined,1,0,11,0
O25,1,undefined,0,0,11,0
O26,undefined,undefined,undefined,1,11,0
O27,undefined,undefined,undefined,1,11,0
O28,1,undefined,0,0,11,0
O29,0,undefined,1,0,11,0
O30,undefined,undefined,undefined,1,11,0
O31,1,undefined,0,0,11,0
O32,undefined,undefined,undefined,1,11,0
O33,0,undefined,1,0,11,0
O34,undefined,undefined,undefined,1,11,0
OX20,undefined,undefined,undefined,1,11,1
OX21,undefined,undefined,undefined,1,11,1
OX22,undefined,undefined,undefined,1,11,1
OX23,undefined,undefined,undefined,1,11,1
OX24,1,undefined,0,0,11,1
OX25,1,undefined,0,0,11,1
OX26,undefined,undefined,undefined,1,11,1
OX27,1,undefined,0,0,11,1
OX28,undefined,undefined,undefined,1,11,1
OX29,undefined,undefined,undefined,1,11,1
OX30,undefined,undefined,undefined,1,11,1
OX31,undefined,undefined,undefined,1,11,1
OX32,undefined,undefined,undefined,1,11,1
OX33,1,undefined,0,0,11,1
OX34,undefined,undefined,undefined,1,11,1
O20,undefined,undefined,undefined,1,12,0
O21,undefined,undefined,undefined,1,12,0
O22,undefined,undefined,undefined,1,12,0
O23,undefined,undefined,undefined,1,12,0
O24,1,undefined,0,0,12,0
O25,undefined,undefined,undefined,1,12,0
O26,undefined,undefined,undefined,1,12,0
O27,undefined,undefined,undefined,1,12,0
O28,undefined,undefined,undefined,1,12,0
O29,1,undefined,0,0,12,0
O30,undefined,undefined,undefined,1,12,0
O31,undefined,undefined,undefined,1,12,0
O32,undefined,undefined,undefined,1,12,0
O33,undefined,undefined,undefined,1,12,0
O34,undefined,undefined,undefined,1,12,0
OX20,undefined,undefined,undefined,1,12,1
OX21,undefined,undefined,undefined,1,12,1
OX22,undefined,undefined,undefined,1,12,1
OX23,undefined,undefined,undefined,1,12,1
OX24,undefined,undefined,undefined,1,12,1
OX25,undefined,undefined,undefined,1,12,1
OX26,undefined,undefined,undefined,1,12,1
OX27,undefined,undefined,undefined,1,12,1
OX28,undefined,undefined,undefined,1,12,1
OX29,undefined,undefined,undefined,1,12,1
OX30,undefined,undefined,undefined,1,12,1
OX31,undefined,undefined,undefined,1,12,1
OX32,undefined,undefined,undefined,1,12,1
OX33,undefined,undefined,undefined,1,12,1
OX34,undefined,undefined,undefined,1,12,1
O20,undefined,undefined,undefined,1,13,0
O21,undefined,undefined,undefined,1,13,0
O22,undefined,undefined,undefined,1,13,0
O23,1,1,undefined,0,13,0
O24,0,0,undefined,0,13,0
O25,undefined,undefined,undefined,1,13,0
O26,undefined,undefined,undefined,1,13,0
O27,1,1,undefined,0,13,0
O28,1,1,undefined,0,13,0
O29,1,1,undefined,0,13,0
O30,undefined,undefined,undefined,1,13,0
O31,undefined,undefined,undefined,1,13,0
O32,1,1,undefined,0,13,0
O33,undefined,undefined,undefined,1,13,0
O34,undefined,undefined,undefined,1,13,0
OX20,undefined,undefined,undefined,1,13,1
OX21,0,0,undefined,0,13,1
OX22,0,0,undefined,0,13,1
OX23,1,1,undefined,0,13,1
OX24,0,0,undefined,0,13,1
OX25,0,0,undefined,0,13,1
OX26,0,0,undefined,0,13,1
OX27,0,0,undefined,0,13,1
OX28,0,0,undefined,0,13,1
OX29,0,0,undefined,0,13,1
OX30,0,0,undefined,0,13,1
OX31,0,0,undefined,0,13,1
OX32,0,0,undefined,0,13,1
OX33,undefined,undefined,undefined,1,13,1
OX34,1,1,undefined,0,13,1
O20,undefined,undefined,undefined,1,14,0
O21,0,undefined,1,0,14,0
O22,1,undefined,0,0,14,0
O23,undefined,undefined,undefined,1,14,0
O24,undefined,undefined,undefined,1,14,0
O25,undefined,undefined,undefined,1,14,0
O26,1,undefined,0,0,14,0
O27,1,undefined,0,0,14,0
O28,undefined,undefined,undefined,1,14,0
O29,undefined,undefined,undefined,1,14,0
O30,undefined,undefined,undefined,1,14,0
O31,1,undefined,0,0,14,0
O32,0,undefined,1,0,14,0
O33,0,undefined,1,0,14,0
O34,1,undefined,0,0,14,0
OX20,1,undefined,0,0,14,1
OX21,undefined,undefined,undefined,1,14,1
OX22,undefined,undefined,undefined,1,14,1
OX23,undefined,undefined,undefined,1,14,1
OX24,undefined,undefined,undefined,1,14,1
OX25,undefined,undefined,undefined,1,14,1
OX26,0,undefined,1,0,14,1
OX27,undefined,undefined,undefined,1,14,1
OX28,undefined,undefined,undefined,1,14,1
OX29,undefined,undefined,undefined,1,14,1
OX30,undefined,undefined,undefined,1,14,1
OX31,undefined,undefined,undefined,1,14,1
OX32,undefined,undefined,undefined,1,14,1
OX33,undefined,undefined,undefined,1,14,1
OX34,undefined,undefined,undefined,1,14,1
O20,1,undefined,0,0,15,0
O21,1,undefined,0,0,15,0
O22,undefined,undefined,undefined,1,15,0
O23,undefined,undefined,undefined,1,15,0
O24,undefined,undefined,undefined,1,15,0
O25,undefined,undefined,undefined,1,15,0
O26,1,undefined,0,0,15,0
O27,undefined,undefined,undefined,1,15,0
O28,1,undefined,0,0,15,0
O29,undefined,undefined,undefined,1,15,0
O30,undefined,undefined,undefined,1,15,0
O31,1,undefined,0,0,15,0
O32,undefined,undefined,undefined,1,15,0
O33,1,undefined,0,0,15,0
O34,1,undefined,0,0,15,0
OX20,1,undefined,0,0,15,1
OX21,undefined,undefined,undefined,1,15,1
OX22,1,undefined,0,0,15,1
OX23,undefined,undefined,undefined,1,15,1
OX24,undefined,undefined,undefined,1,15,1
OX25,undefined,undefined,undefined,1,15,1
OX26,0,undefined,1,0,15,1
OX27,undefined,undefined,undefined,1,15,1
OX28,undefined,undefined,undefined,1,15,1
OX29,undefined,undefined,undefined,1,15,1
OX30,undefined,undefined,undefined,1,15,1
OX31,undefined,undefined,undefined,1,15,1
OX32,undefined,undefined,undefined,1,15,1
OX33,undefined,undefined,undefined,1,15,1
OX34,undefined,undefined,undefined,1,15,1
