ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,reliance
O20,0.5650228602545602,0.0,14,1,0.07142857142857142,0.0,2,0,1
O20,1.6598470211029053,0.0,6,1,0.16666666666666666,0.0,3,0,1
O21,1.4784033298492432,0.1264684200286865,2,1,0.5,0.0855439226057363,3,0,1
O21,0.3491252660751343,0.3463318347930908,2,1,0.5,0.99199877077518,9,0,1
O21,1.3097896575927734,0.0,2,1,0.5,0.0,10,0,1
O21,1.67258620262146,0.0,1,1,1.0,0.0,11,0,1
O21,0.3562121391296386,0.1736558675765991,1,2,2.0,0.4875068772246399,15,0,1
O22,1.363114356994629,0.0,5,1,0.2,0.0,2,0,1
O22,0.6022241115570068,0.0,3,1,0.3333333333333333,0.0,6,0,1
O22,1.2445080280303955,0.0,3,1,0.3333333333333333,0.0,7,0,1
O22,0.7469482421875,0.0,1,1,1.0,0.0,10,0,1
O22,1.414919137954712,0.0,1,1,1.0,0.0,11,0,1
O25,0.9253514607747396,0.2667745351791382,12,2,0.16666666666666666,0.2882953628838326,3,0,1
O25,0.9746254086494446,0.0,4,1,0.25,0.0,11,0,1
O26,0.6353037357330322,0.0,1,1,1.0,0.0,3,0,1
O26,1.6945551484823227,0.0,16,1,0.0625,0.0,7,0,1
O26,1.477551524455731,0.302192211151123,26,1,0.038461538461538464,0.20452228308074613,14,0,1
O26,1.128492434819539,0.5226469039916992,3,6,2.0,0.46313726868295524,15,0,1
O27,0.149422287940979,0.0,2,1,0.5,0.0,2,0,1
O27,0.3003358159746442,0.0,7,1,0.14285714285714285,0.0,5,0,1
O27,0.438535213470459,0.0,4,1,0.25,0.0,7,0,1
O27,0.7992019653320312,0.0,1,1,1.0,0.0,13,0,1
O28,0.8933717012405396,0.0,2,1,0.5,0.0,2,0,1
O28,0.5403295159339905,0.0,4,1,0.25,0.0,7,0,1
O28,1.2362815141677856,0.0,2,1,0.5,0.0,10,0,1
O28,0.9557986259460448,0.0,2,1,0.5,0.0,11,0,1
O28,0.4466650485992431,0.0,1,1,1.0,0.0,13,0,1
O29,0.5441729227701823,0.1341807842254638,18,1,0.05555555555555555,0.24657747309880704,1,0,1
O29,0.6522904634475708,0.0,4,1,0.25,0.0,4,0,1
O29,1.588408201932907,0.5454986572265625,8,10,1.25,0.3434247295895063,7,0,1
O29,0.9505058924357096,0.7722721894582113,3,3,1.0,0.8124854307628043,8,0,1
O29,0.6553449630737305,0.2715567747751872,1,3,3.0,0.4143722620549619,10,0,1
O29,1.4765043258666992,0.3245394229888916,1,2,2.0,0.21980255479332164,12,0,1
O29,1.3382118940353394,0.5422388712565104,2,3,1.5,0.40519657139005444,13,0,1
O30,0.9044400453567504,0.0,4,1,0.25,0.0,2,0,1
O30,2.065000136693319,0.0,3,1,0.3333333333333333,0.0,5,0,1
O31,0.1179698705673217,0.0,2,1,0.5,0.0,7,0,1
O31,0.928792119026184,0.0,4,1,0.25,0.0,10,0,1
O31,1.2479093074798584,0.0,3,1,0.3333333333333333,0.0,11,0,1
O31,1.18313201268514,0.0,3,1,0.3333333333333333,0.0,14,0,1
O32,0.4143500328063965,0.0,5,1,0.2,0.0,4,0,1
O32,1.3516619602839153,0.6931492805480957,6,5,0.8333333333333334,0.5128125973172318,6,0,1
O32,0.5996411442756653,0.181588590145111,8,4,0.5,0.3028287699711807,10,0,1
O32,0.279559850692749,0.0,1,1,1.0,0.0,13,0,1
O33,1.1953469216823578,0.0,8,1,0.125,0.0,1,0,1
O33,3.652538776397705,0.0,1,1,1.0,0.0,3,0,1
O33,0.3262027899424235,0.0,3,1,0.3333333333333333,0.0,4,0,1
O33,2.397906017303467,0.0,10,1,0.1,0.0,5,0,1
O33,0.4249346057573954,0.0,24,1,0.041666666666666664,0.0,7,0,1
O33,0.5112409591674805,0.0,2,1,0.5,0.0,8,0,1
O33,0.5939956506093343,0.0,3,1,0.3333333333333333,0.0,15,0,1
O34,1.2099111080169678,0.3535041014353434,1,3,3.0,0.2921736143200909,7,0,1
O34,1.01059889793396,0.4228739738464355,1,1,1.0,0.41843898178688615,15,0,1
OX20,1.373185157775879,0.0,2,1,0.5,0.0,14,1,1
OX20,0.8536946773529053,0.2798211357810281,1,11,11.0,0.3277765964860924,15,1,1
OX22,0.5138939619064331,0.0,2,1,0.5,0.0,2,1,1
OX22,1.9888468384742737,0.0,4,1,0.25,0.0,5,1,1
OX23,0.3557858467102051,0.0,2,1,0.5,0.0,2,1,1
OX24,0.6069743633270264,0.0,3,1,0.3333333333333333,0.0,6,1,1
OX24,2.4115970134735107,0.0,2,1,0.5,0.0,7,1,1
OX24,0.1782348155975341,0.0,4,1,0.25,0.0,8,1,1
OX24,0.4706513881683349,0.0,2,1,0.5,0.0,11,1,1
OX25,2.1708189078739712,0.0,7,1,0.14285714285714285,0.0,2,1,1
OX25,0.4420665105183919,0.0,6,1,0.16666666666666666,0.0,3,1,1
OX25,2.0633965333302817,0.0,6,1,0.16666666666666666,0.0,6,1,1
OX25,0.6408627466721968,0.0,11,1,0.09090909090909091,0.0,11,1,1
OX28,1.1990810102886624,0.5197957356770834,18,6,0.3333333333333333,0.4334950943405814,3,1,1
OX28,1.0603098642258415,0.0,21,1,0.047619047619047616,0.0,7,1,1
OX31,0.9668928782145182,0.2069374521573384,3,12,4.0,0.2140231423976075,2,1,1
OX31,0.6075488924980164,0.0,8,1,0.125,0.0,5,1,1
OX32,0.6797754203571993,0.4649235985495827,17,11,0.6470588235294118,0.6839370542484177,4,1,1
OX33,0.6836550235748291,0.0,1,1,1.0,0.0,1,1,1
OX33,1.043756658380682,0.0,11,1,0.09090909090909091,0.0,7,1,1
OX33,4.288177013397217,0.1054946780204773,1,4,4.0,0.024601288074370183,11,1,1
OX34,1.2144427299499512,0.0,2,1,0.5,0.0,3,1,1
OX34,1.244570295015971,0.0,6,1,0.16666666666666666,0.0,7,1,1
OX34,0.8854889529091972,0.4157339466942681,7,9,1.2857142857142858,0.4694964802535484,13,1,1
