metric,mean,std,sem,median,AOI,condition
average_fixation_duration,1.3452478133042758,0.4468685160510301,0.08445021158682149,1.296068304649446,Computer,O
average_fixation_duration,1.411411860477614,0.4445391382134064,0.11880808215759386,1.3598023870978693,Computer,OX
average_fixation_duration,0.4467176270472411,0.2033824265380049,0.03843566583288744,0.40549339898515724,Elmo,O
average_fixation_duration,0.4261575567569363,0.12447149259928338,0.033266405694777616,0.398253042344775,Elmo,OX
total_fixation_duration,600.447171330452,220.25352134830294,41.62400306241895,81.20601593216479,Computer,O
total_fixation_duration,712.0265837567193,203.54874215382483,54.400689617743076,83.10383741471773,Computer,OX
total_fixation_duration,91.13018574033465,98.75935671831203,18.663764108383546,7.091012108360173,Elmo,O
total_fixation_duration,120.17488637992314,114.28775658436189,30.544687760121416,10.979710985227987,Elmo,OX
total_fixation_count,0.5935981823291963,0.16331815999742566,0.03086423113813182,0.5652577367958388,Computer,O
total_fixation_count,0.5971707985294018,0.1469528272787573,0.039274795121062675,0.5512893591415722,Computer,OX
total_fixation_count,0.2771044215874011,0.280259929837961,0.05296414834340396,0.14457363039913762,Elmo,O
total_fixation_count,0.3517747552521732,0.3135586967041408,0.08380208669358989,0.28391875753553675,Elmo,OX
relative_count,0.45616237345096927,0.5101864413771179,0.09641617472577768,0.23937807881773399,Relative,O
relative_count,0.6045749404342756,0.6088971776533163,0.1627346158965954,0.4884735983945817,Relative,OX
relative_duration,0.144401049435573,0.14259583274139445,0.02694807938770653,0.08126194778843503,Relative,O
relative_duration,0.1627857038127706,0.13854051503747272,0.037026510104101865,0.1272354877463009,Relative,OX
